%time,field.header.seq,field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1372687211581804776,4229,1372687211573441678,0.00658714435766,-0.0609630218457,0.643708882127,0.762809933448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118708460649,-0.101551012618,0.108109372395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926064,-0.619992,9.715824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211673230241,4230,1372687211671480120,0.00831954532365,-0.0625744068867,0.64811693353,0.758920067754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111712933985,-0.0502412867358,0.11247483431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02024,-0.651384,9.723672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211765389069,4231,1372687211769445630,0.00808349345172,-0.0616934893969,0.652488726514,0.755239718415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015009307584,0.0132922651167,0.121908485428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933912,-0.690624,9.739368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211867462463,4232,1372687211867392246,0.00575708531112,-0.0590173805622,0.657226805498,0.751356593699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00593484478172,0.0659913626752,0.121200702594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.051632,-0.659232,9.762912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211969188841,4233,1372687211964470600,0.00389656496875,-0.0564769987488,0.661457009788,0.747843425856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011520892742,0.0645993551558,0.120505109364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.910368,-0.643536,9.723672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212061532984,4234,1372687212062449282,0.00232488322098,-0.0541155745171,0.66596970466,0.744009712294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125680820059,0.0513329369533,0.116311315316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894672,-0.635688,9.755064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212164923675,4235,1372687212160421936,0.00250609850507,-0.0534101470835,0.669695704567,0.740708268446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172805751163,0.00594952698249,0.107225435979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973152,-0.612144,9.755064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212258794608,4236,1372687212257485997,0.00531719741164,-0.0546128900203,0.674051318398,0.73664372652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289723581469,-0.0565292498614,0.111064738332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949608,-0.62784,9.747216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212360741909,4237,1372687212355436506,0.00778219260788,-0.0553960065656,0.677763825197,0.7331486324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328115823824,-0.0526814905,0.106890027261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847584,-0.635688,9.77076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212454420576,4238,1372687212452639400,0.00857978276945,-0.0552674973782,0.681494293481,0.729683094921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195443885735,-0.0132372298047,0.10619654162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847584,-0.674928,9.73152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212558460860,4239,1372687212551312626,0.0078146340862,-0.0538004890339,0.685597714321,0.725947803214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136106483601,0.0274256149737,0.10584694896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878976,-0.66708,9.786456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212651735531,4240,1372687212647456890,0.00701777546585,-0.0527104523231,0.689046232045,0.722763895853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00820123165485,0.0258532929472,0.100257658084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878976,-0.643536,9.786456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212744550098,4241,1372687212745433717,0.00643612274844,-0.0523130118037,0.692463237517,0.719525253071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00121916824883,0.0104969373094,0.0904877016724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808344,-0.66708,9.755064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212848658328,4242,1372687212843434918,0.00632744792829,-0.0523306656884,0.695227416756,0.716854450933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00122401334286,-0.00102499671801,0.0810568212775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86328,-0.5886,9.833544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687212940542456,4243,1372687212940483453,0.00570097275875,-0.0519379873394,0.697867070225,0.714318904045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00069589762127,0.0117189707963,0.0709390431657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776952,-0.596448,9.723672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213042965505,4244,1372687213038550406,0.00438371370267,-0.0511473829487,0.699991479303,0.712303767487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00593355803479,0.0303907250629,0.0636061300869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808344,-0.635688,9.802152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213135775477,4245,1372687213136436594,0.00342560796179,-0.0509225777518,0.702359882831,0.709989965615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00802516012811,0.0143328573139,0.0646479821847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808344,-0.5886,9.77076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
